success,trial_type,trial_index,time_elapsed,internal_node_id,ID,condition,StartTime,EndTime,task,view_history,rt,writing_txt,writing_duration_rt,pre_writing_pause,stimulus,response
1,preload,0,8,0.0-0.0,3124577,control,2025/8/8 11:36,2025/8/8 11:47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,4640,0.0-1.0,3124577,control,2025/8/8 11:36,2025/8/8 11:47,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,65850,0.0-2.0,3124577,control,2025/8/8 11:36,2025/8/8 11:47,main_task_inst_tl,Array,61209,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,659155,0.0-3.0,3124577,control,2025/8/8 11:36,2025/8/8 11:47,writing_block,NULL,NULL,"太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くて可愛くて仕方がありませんでした。
太郎は毎日毎日弟の世話をして大切に扱っていました。
ですが暫くするとお母さんもお父さんも弟ばかり構っていて自分を構ってもらえず不満を抱くようになりました。
あまりにも弟ばかり構っていて太郎は寂しくて仕方がありませんでした。
そこで太郎は思いつきます。
弟が死んでしまえばお母さんもお父さんも自分の方を向いてくれるのではと。
そこで太郎は弟を殺す計画を立てました。
弟はいつもお母さんのおっぱいを飲んでいたので、太郎はお母さんのおっぱいに毒を塗ることにしました。
お母さんが眠っていることを確認すると太郎はお母さんのおっぱいに毒を塗りました。
これで明日、弟がおっぱいを飲めば毒で死んでしまうだろうと期待していました。
翌朝、太郎が目を覚ますと何とそこにはお父さんの死体が転がっていました。",593304,6666,NULL,NULL
NULL,html-keyboard-response,4,662228,0.0-4.0,3124577,control,2025/8/8 11:36,2025/8/8 11:47,debrief,NULL,3073,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
1,preload,0,15,0.0-0.0,4983408,control,2025/8/8 2:50,2025/8/8 2:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3008,0.0-1.0,4983408,control,2025/8/8 2:50,2025/8/8 2:58,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,27020,0.0-2.0,4983408,control,2025/8/8 2:50,2025/8/8 2:58,main_task_inst_tl,Array,24012,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,3,524747,0.0-3.0,4983408,control,2025/8/8 2:50,2025/8/8 2:58,writing_block,NULL,NULL,"街外れにある小さな村に、一人の女の子がいました。魔法が使える世界にあるこの村の女の子は、魔法の勉強を毎日しています。今使える魔法は回復魔法。優しい女の子は自分の回復魔法を今以上に勉強をしたいと日々生きています。

こんな女の子は突然怪我をした男の子に出会いました。
「大丈夫？怪我はない？」
と聞くと、
「大したことない。イテテ。ちょっと転んで擦りむいただけ。こんなのへっちゃらさ。」
と女の子に良いところを見せたい一心で返事をしました。
女の子は男の子の怪我を治したい一心で回復魔法を使いました。男の子は女の子の優しさを覚えて心が温かくなりました。

女の子は回復魔法をもっと習得したい気持ちで、その後も魔法の勉強に専念しました。今は治癒魔法だけではなく、ステータス状態を維持する魔法も習得し始めています。",497725,3869,NULL,NULL
NULL,html-keyboard-response,4,526526,0.0-4.0,4983408,control,2025/8/8 2:50,2025/8/8 2:58,debrief,NULL,1777,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>, 
