"ID","condition","order","time","probe_interval","response","response_time_for_beep","trial_text"
"3124577","control","0","20831","15000","output","1769","太郎は良子に恋をしていｍ"
"3124577","control","1","57751","33000","planning","1319","太郎は"
"6233409","control","0","43711","39000","planning","1566",
"3124577","control","2","98615","37000","output","1576","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
"
"6233409","control","1","85367","38000","output","2262","二匹の猫が並んで歩いていました。
オスの猫は黒色、"
"3124577","control","3","120399","18000","output","1585","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる火を"
"3260097","control","0","48666","37000","output","2144","小さな子猫と独りぼっちで寂しいおもいを"
"6233409","control","2","130167","41000","planning","2166","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。

向かい側からオスのトラ猫が歩いてきました。
トラ猫はメスの白猫をとても気に入ったようです。

"
"3124577","control","4","166663","43000","output","1129","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くてかわ"
"3260097","control","1","80118","28000","output","1516","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く"
"5398551","control","0","33826","21000","output","1719","時代ははるか未来、AIが今より発展し、にんげんｔ"
"6233409","control","3","168407","35000","output","2127","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のめをとても気に入ったようです。

"
"3260097","control","2","99170","16000","output","1227","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる"
"3124577","control","5","194999","25000","output","1610","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くて可愛くて仕方がありませんでした。
太郎は毎日"
"2752457","control","0","28667","24000","planning","1464","ある日、世界中に未知のウイルスが蔓延した。"
"3260097","control","3","119991","18000","output","1486","小さな子猫と独りぼっちで寂しい思いをしている少年が雨の中出会った。最初は全く子猫に興味がなかったが、自分と同じように一人でいる猫に親近感を覚え、いつしかこの子とずっと一緒にいたい"
"3124577","control","6","216455","18000","output","1417","太郎はお父さんとお母さんの3人家族でした。
あるとき太郎に弟ができることが判りました。
太郎はとても嬉しくて弟が生まれてくる日を楽しみにしていました。
そして3か月後、ついに弟が生まれました。
太郎は弟が可愛くて可愛くて仕方がありませんでした。
太郎は毎日毎日弟の世話をして大切に"
"1274239","control","0","41879","39000","planning","935","ある夏休みのとても暑い日。友達と集まって"
"5398551","control","1","75250","38000","output","1112","時代ははるか未来、AIが今より発展し、人間と区別がつかないほど進化し、独自の意識を"
"4983408","control","0","33166","28000","output","1472","街外れにある"
"6233409","control","4","199286","28000","output","1663","二匹の猫が並んで歩いていました。
オスの猫は黒色、メスの猫は白色をしています。
黒色のオス猫は白色のメス猫の事がとても好きです。

向かい側からオスのトラ猫が歩いてきました。
トラ猫は白色のメス猫をとても気に入ったようです。

黒猫とトラ猫は白猫をめぐってのライバル関係になりました。
二匹ともしろねｋ
"
