"success","task","trial_type","trial_index","time_elapsed","internal_node_id","ID","condition","StartTime","EndTime","view_history","rt","stimulus","response","correct_answer","sentence_text","correct"
"1","FullScreen","fullscreen","0","3040","0.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"category_inst_tl","instructions","1","20125","0.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21","Array","17084",NULL,NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","2","23573","0.0-2.0-0.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"3448","<p>思いついた言葉をすぐに書いている。</p>","1","出力","思いついた言葉をすぐに書いている。","1"
NULL,"feedback_trial","html-keyboard-response","3","24089","0.0-2.0-0.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","4","26869","0.0-2.0-1.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"2779","<p>自分の書いた文字を眺めていたが、何も考えていなかった。</p>","0","その他","自分の書いた文字を眺めていたが、何も考えていなかった。",
NULL,"feedback_trial","html-keyboard-response","5","27371","0.0-2.0-1.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:red;'>不正解！もう一度回答してください。</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","6","28749","0.0-2.0-1.1-0.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1377","<p>自分の書いた文字を眺めていたが、何も考えていなかった。</p>","3","その他","自分の書いた文字を眺めていたが、何も考えていなかった。","1"
NULL,"feedback_trial","html-keyboard-response","7","29255","0.0-2.0-1.1-1.1","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","8","30909","0.0-2.0-2.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1653","<p>何となく窓の外を見ていた。</p>","3","その他","何となく窓の外を見ていた。","1"
NULL,"feedback_trial","html-keyboard-response","9","31410","0.0-2.0-2.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","10","32757","0.0-2.0-3.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1347","<p>話の構成を考えている。</p>","0","プランニング","話の構成を考えている。","1"
NULL,"feedback_trial","html-keyboard-response","11","33258","0.0-2.0-3.0-1.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,NULL,"<p style='color:green;'>正解！</p>",NULL,NULL,NULL,NULL
NULL,"classification_trial","html-button-response","12","34629","0.0-2.0-4.0-0.0","367640","outline","2025/8/8 11:28:45","2025/8/8 11:30:21",NULL,"1370","<p>ストレッチをして体をほぐした。</p>","3","その他","ストレッチをして体をほぐした。","1"
