"success","task","trial_type","trial_index","time_elapsed","internal_node_id","ID","condition","StartTime","EndTime","view_history","rt","stimulus","response","response_raw","response_normalized","correct_answer","correct"
"1","FullScreen","fullscreen","0","9210","0.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"practice_task_inst_tl","instructions","1","39939","0.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10","Array","30728",NULL,NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","2","40940","0.0-2.0-0.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">C</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","3","41941","0.0-2.0-0.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">2</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","4","42943","0.0-2.0-0.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">A</div>",NULL,NULL,NULL,NULL,NULL
NULL,NULL,"html-keyboard-response","5","43944","0.0-2.0-0.0-3.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,"response_trials_practice","html-keyboard-response","6","51826","0.0-2.0-0.0-4.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,NULL,NULL,"2AC","2AC","2AC","1"
NULL,NULL,"html-keyboard-response","7","53828","0.0-2.0-0.0-5.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<p style='color:green; font-size: 48px;'>正解です！</p>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","8","54830","0.0-2.0-1.0-0.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">B</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","9","55832","0.0-2.0-1.0-1.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">5</div>",NULL,NULL,NULL,NULL,NULL
NULL,"presentation_trials_practice","html-keyboard-response","10","56833","0.0-2.0-1.0-2.0","3124577","control","2025/8/8 11:31:47","2025/8/8 11:36:10",NULL,NULL,"<div style=""font-size: 48px;"">D</div>",NULL,NULL,NULL,NULL,NULL
