success,trial_type,trial_index,time_elapsed,internal_node_id,ID,condition,StartTime,EndTime,task,view_history,rt,response,outline_text,writing_txt,writing_duration_rt,pre_writing_pause,stimulus
1,preload,0,22,0.0-0.0,5924178,outline,2025/8/8 11:32,2025/8/8 11:52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,4570,0.0-1.0,5924178,outline,2025/8/8 11:32,2025/8/8 11:52,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,150264,0.0-2.0,5924178,outline,2025/8/8 11:32,2025/8/8 11:52,outline_inst_tl,Array,145693,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,630266,0.0-3.0,5924178,outline,2025/8/8 11:32,2025/8/8 11:52,outline_task,NULL,NULL,Array,"人見知りで恥ずかしがり屋の太郎君ははじめてのおつかいに行く
初めて一人で外に出て、人に話しかけなければいけない経験をする
人見知りから成長する",NULL,NULL,NULL,NULL
NULL,instructions,4,673440,0.0-4.0,5924178,outline,2025/8/8 11:32,2025/8/8 11:52,main_task_inst_tl,Array,43173,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1170264,0.0-5.0,5924178,outline,2025/8/8 11:32,2025/8/8 11:52,writing_block,NULL,NULL,NULL,NULL,"太郎はお母さんに一人でスーパーに行ってりんごをに買ってきてと頼まれた。
それは、5歳の太郎の初めてのお使いだった。
人見知りで恥ずかしがり屋の太郎は一人でおつかいができるか不安だったが、大好きなお母さんのため、おつかいに行く事を決意する。
お母さんからお金を受け取り家を出た太郎、しかし、しばらく進むと初めてのおつかいの緊張のせいか、いつも行っているスーパーへの道がわからなくなってしまった。
周りは比較的人通りが多く、道を尋ねる事もできるが、人見知りの太郎は知らない人に声を掛ける事がなかなかできない。
しかし、このままでは大好きなお母さんに頼まれたお使いを達成する事ができない。
太郎は意を決して通りかかった大人に声をかけ、スーパーへの道を聞くことができた。
無事、スーパーにたどり着いた太郎。
目当てのりんごを探し始めるが見つからない。
人見知りの太郎は忙しそうに働いている店員にりんごの場所を聞く事がなかなかできない。
しかし、お母さんのため、そう思うと勇気が湧いてきた太郎は店員にりんごの場所を聞く事ができた。
そして、太郎はりんごをレジに持っていき精算を済ませた。
無事にりんごを手に入れて帰路につく太郎は、家を出る前の人見知りで恥ずかしがり屋の太郎から一皮剥けた男になっていた。",496823,1995,NULL
NULL,html-keyboard-response,6,1173383,0.0-6.0,5924178,outline,2025/8/8 11:32,2025/8/8 11:52,debrief,NULL,3118, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,4,0.0-0.0,1451340,outline,2025/8/8 11:33,2025/8/8 11:53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,4763,0.0-1.0,1451340,outline,2025/8/8 11:33,2025/8/8 11:53,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,99602,0.0-2.0,1451340,outline,2025/8/8 11:33,2025/8/8 11:53,outline_inst_tl,Array,94840,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,579603,0.0-3.0,1451340,outline,2025/8/8 11:33,2025/8/8 11:53,outline_task,NULL,NULL,Array,"川の中に一匹の真っ黒い鯉がいたが、みんなほどきれいではないことに悩んでいた。
ある日、川が増水しみんなとはぐれ違う場所に来てしまう。
その場所では違う種類の魚や生き物と会い違う価値感を学ぶ。
また同じ自分と似たメスと知り合い愛し合うようになり幸せに暮らす。",NULL,NULL,NULL,NULL
NULL,instructions,4,633805,0.0-4.0,1451340,outline,2025/8/8 11:33,2025/8/8 11:53,main_task_inst_tl,Array,54201,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1210236,0.0-5.0,1451340,outline,2025/8/8 11:33,2025/8/8 11:53,writing_block,NULL,NULL,NULL,NULL,"ある川の中に一匹の真っ黒い鯉が住んでいたが、周りの鯉たちはとてもきれいな柄をしており、それをみた黒い鯉は悩んでいた。
ある日、大雨が何日も降り注ぎ、住んでいた川があふれかえり黒い鯉は流されてしまった。
目が覚めたら全く知らない場所に来ており戸惑っていたが、あるドジョウが声をかけてきた。とても楽しくおしゃべりしたり遊んだり、違う生き物たちと触れ合う中で黒い鯉は固くなっていた心がしだいにやわらかくなっていった。

そんな中、自分と似たようなメスと恋に落ちその場所でずっと幸せに暮らした。",576431,5475,NULL
NULL,html-keyboard-response,6,1212948,0.0-6.0,1451340,outline,2025/8/8 11:33,2025/8/8 11:53,debrief,NULL,2712, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,11,0.0-0.0,6169624,outline,2025/8/8 11:31,2025/8/8 11:53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2584,0.0-1.0,6169624,outline,2025/8/8 11:31,2025/8/8 11:53,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,22232,0.0-2.0,6169624,outline,2025/8/8 11:31,2025/8/8 11:53,outline_inst_tl,Array,19647,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,502236,0.0-3.0,6169624,outline,2025/8/8 11:31,2025/8/8 11:53,outline_task,NULL,NULL,Array,"＜人はなぜつまらないスポーツに関心を示すのか？＞
・サッカーがどうしても好きになれない少年は、ビックネームで名を馳せたプロサッカー選手を揶揄することが日常的になってしまった。
・これは嫉妬というより、生活圏に自然と馴染まない嫌なシチュエーションであることが考えられ、ベストな選択肢が何かが理解できない環境に陥ってしまった。
・嫌いなものを観なくて済む世界が訪れれば幸せであること間違いなしなのだが、人生はそう上手くは行かないと言える。
・美的センスに欠けるサッカーの情報は、マスコミの稚拙なスポーツニュースを見ればすぐに理解できるであろう
・意味のない情報ばかりを国民に押し付け、スポーツを好きにならなければおかしいと考える連中は、将来的には罰が当たると言える
・人間らしく生きる上で大切なことは、世の中に振り回されることなく、自分自身で好きなものに囲まれて生きていくことが大事だと言える",NULL,NULL,NULL,NULL
NULL,instructions,4,531554,0.0-4.0,6169624,outline,2025/8/8 11:31,2025/8/8 11:53,main_task_inst_tl,Array,29316,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1295017,0.0-5.0,6169624,outline,2025/8/8 11:31,2025/8/8 11:53,writing_block,NULL,NULL,NULL,NULL,"＜人はなぜつまらないと初めからわかっているスポーツに関心を示してしまうのか？＞

サッカーが嫌いだということは、実は賢いという人間であれば堅実な内容であると言えます。世の中はとにかく汚いビジネスに侵されており、鬱陶しさが否めないというのが実情です。
またこういった偏向傾向を生んだのは、金儲けに目がくらんだマスコミそのものであり、嫌いなものをとことん見たくない人間を破滅させることはみじんも理解していないと考えられます。
それから美的センスに欠ける内容は、自分自身で排除して欠航であり、稚拙なスポーツニュースは一切見聞きしないというのが賢い人が行うべき行動なのです。同時に世の中に振り回されることを防ぐには、自分自身で好きなものを優先させて自ら生きるということが大事になってきます。
人間らしく生きるには、人間自身が自らを証明しなければなりません。
これこそ、人生の本当の面白さなのです。",763461,6044,NULL
NULL,html-keyboard-response,6,1297383,0.0-6.0,6169624,outline,2025/8/8 11:31,2025/8/8 11:53,debrief,NULL,2365, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,5,0.0-0.0,4415810,outline,2025/8/8 11:35,2025/8/8 11:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,7250,0.0-1.0,4415810,outline,2025/8/8 11:35,2025/8/8 11:57,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,107227,0.0-2.0,4415810,outline,2025/8/8 11:35,2025/8/8 11:57,outline_inst_tl,Array,99977,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,587229,0.0-3.0,4415810,outline,2025/8/8 11:35,2025/8/8 11:57,outline_task,NULL,NULL,Array,"都会の喧騒に疲れた社会人がいました。
田舎で農業を営みたいと考えていた。
疲れて眠りにつくと、見たこともない田舎にいた。
帰れなくなった彼は、田舎に住む決心をした。
周りの人たちと馴染み、協力してもらい農業を始める。
初めての収穫を住民と祝い、熱い感情が込み上げてきた。
ここに住み農業を営むことが自分のこれからの人生と考えて、住民とともに歩もうと決心した。
",NULL,NULL,NULL,NULL
NULL,instructions,4,642697,0.0-4.0,4415810,outline,2025/8/8 11:35,2025/8/8 11:57,main_task_inst_tl,Array,55468,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1301231,0.0-5.0,4415810,outline,2025/8/8 11:35,2025/8/8 11:57,writing_block,NULL,NULL,NULL,NULL,"今日も都会の喧騒にうんざりとした彼は足取りも重く帰途についていた。
彼は眠る前にいつもの空想にふけっていました。
ああ、都会の煩わしい喧騒から離れて田舎で農業を営みたいと。
睡魔に負け、ふと目が覚めると、見たこともない場所にいた。
広大な自然が広がり、小さな集落が見えた。
なぜかもう、帰ることができないと理解できた。
そこに、通りがかる住民に挨拶をし、このあたりのことを聞くことにした。
どうも人手が足りない様子なので、住まわせてもうら間は農業の手伝いをすることになる。
周りの住民とも打ち解け、初めての収穫までに漕ぎつくことができたのです。
そのときに、目から熱い物が流れ、ああ、ここで生きていきたいと自然と思えるようになったのです。
",658533,5068,NULL
NULL,html-keyboard-response,6,1303492,0.0-6.0,4415810,outline,2025/8/8 11:35,2025/8/8 11:57,debrief,NULL,2261, ,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,6,0.0-0.0,5144214,outline,2025/8/8 11:33,2025/8/8 11:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,6592,0.0-1.0,5144214,outline,2025/8/8 11:33,2025/8/8 11:58,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,132809,0.0-2.0,5144214,outline,2025/8/8 11:33,2025/8/8 11:58,outline_inst_tl,Array,126216,NULL,NULL,NULL,NULL,NULL,NULL
