"ID","condition","order","time","probe_interval","response","response_time_for_beep","trial_text"
"367640","outline","0","25623","20000","output","1244","高校生の武田茂はせん"
"367640","outline","1","62471","32000","output","1194","高校生の武田茂は戦国シミュレーションゲームにハマっていた。
あまりにも好きすぎて徹夜することもしばしばあり、この日も茂は徹夜で"
"367640","outline","2","81558","16000","output","1195","高校生の武田茂は戦国シミュレーションゲームにハマっていた。
あまりにも好きすぎて徹夜することもしばしばあり、この日も茂は徹夜でゲームをし、そのまま眠ってしまった。
めざめ"
"6169624","outline","0","25514","19000","planning","1087","サッカーが嫌いだということは、実は賢いという人間であれ"
"367640","outline","3","120582","35000","output","1326","高校生の武田茂は戦国シミュレーションゲームにハマっていた。
あまりにも好きすぎて徹夜することもしばしばあり、この日も茂は徹夜でゲームをし、そのまま眠ってしまった。
茂が目覚めるとそこは自宅ではなく、なぜか森の中。
何かのイタズラと思いつつ、山中を彷徨っていると人と出会う。
しかしそのひ"
"6169624","outline","1","49461","21000","planning","695","サッカーが嫌いだということは、実は賢いという人間であれば堅実な内容であると言えます。世の中汚いビジネスに侵されており、とにかく"
"367640","outline","4","159559","36000","planning","1147","高校生の武田茂は戦国シミュレーションゲームにハマっていた。
あまりにも好きすぎて徹夜することもしばしばあり、この日も茂は徹夜でゲームをし、そのまま眠ってしまった。
茂が目覚めるとそこは自宅ではなく、なぜか森の中。
何かのイタズラと思いつつ、山中を彷徨っていると人と出会う。
しかしその人の服装は異常だった。
古くてボロい着物を着ており、明らかに現代日本人ではない。
はな"
"6169624","outline","2","86625","34000","output","595","サッカーが嫌いだということは、実は賢いという人間であれば堅実な内容であると言えます。世の中汚いビジネスに侵されており、とにかく鬱陶しさは否めないというのが実情です。またこういった偏向傾向を生んだのは、金儲けに目がくらんだマスコミそのものであり、嫌いなものをとこと"
"6169624","outline","3","111437","22000","output","1010","サッカーが嫌いだということは、実は賢いという人間であれば堅実な内容であると言えます。世の中汚いビジネスに侵されており、とにかく鬱陶しさは否めないというのが実情です。またこういった偏向傾向を生んだのは、金儲けに目がくらんだマスコミそのものであり、嫌いなものをとことん見たくない人間を破滅させることはみじんも理解していないとかんがえられ"
"367640","outline","5","190630","28000","output","1170","高校生の武田茂は戦国シミュレーションゲームにハマっていた。
あまりにも好きすぎて徹夜することもしばしばあり、この日も茂は徹夜でゲームをし、そのまま眠ってしまった。
茂が目覚めるとそこは自宅ではなく、なぜか森の中。
何かのイタズラと思いつつ、山中を彷徨っていると人と出会う。
しかしその人の服装は異常だった。
古くてボロい着物を着ており、明らかに現代日本人ではない。
話してみると言葉は一応通じるが、やはり現代日本語と異なっている。
ここはどこかと尋ねてみると、なんとかい"
"6169624","outline","4","135069","21000","output","712","サッカーが嫌いだということは、実は賢いという人間であれば堅実な内容であると言えます。世の中汚いビジネスに侵されており、とにかく鬱陶しさは否めないというのが実情です。またこういった偏向傾向を生んだのは、金儲けに目がくらんだマスコミそのものであり、嫌いなものをとことん見たくない人間を破滅させることはみじんも理解していないと考えられます。ゆえに美的センスに欠ける内容は、自分自身で排除して欠航であり、稚拙なスポーツ"
"2259197","outline","0","26592","20000","planning","2513","なんで"
"367640","outline","6","236086","42000","output","1321","高校生の武田茂は戦国シミュレーションゲームにハマっていた。
あまりにも好きすぎて徹夜することもしばしばあり、この日も茂は徹夜でゲームをし、そのまま眠ってしまった。
茂が目覚めるとそこは自宅ではなく、なぜか森の中。
何かのイタズラと思いつつ、山中を彷徨っていると人と出会う。
しかしその人の服装は異常だった。
古くてボロい着物を着ており、明らかに現代日本人ではない。
話してみると言葉は一応通じるが、やはり現代日本語と異なっている。
ここはどこかと尋ねてみると、なんと甲斐の国だという。
治めているのは武田信玄で、戦国時代の真っただ中に転生してしまったことに茂のは気づくのだ"
"367640","outline","7","254678","16000","output","1080","高校生の武田茂は戦国シミュレーションゲームにハマっていた。
あまりにも好きすぎて徹夜することもしばしばあり、この日も茂は徹夜でゲームをし、そのまま眠ってしまった。
茂が目覚めるとそこは自宅ではなく、なぜか森の中。
何かのイタズラと思いつつ、山中を彷徨っていると人と出会う。
しかしその人の服装は異常だった。
古くてボロい着物を着ており、明らかに現代日本人ではない。
話してみると言葉は一応通じるが、やはり現代日本語と異なっている。
ここはどこかと尋ねてみると、なんと甲斐の国だという。
治めているのは武田信玄で、戦国時代の真っただ中に転生してしまったことに茂のは気づくのだった。

茂は武田信玄が大好きで、ゲームでも"
"6169624","outline","5","182556","45000","output","527","サッカーが嫌いだということは、実は賢いという人間であれば堅実な内容であると言えます。世の中汚いビジネスに侵されており、とにかく鬱陶しさは否めないというのが実情です。またこういった偏向傾向を生んだのは、金儲けに目がくらんだマスコミそのものであり、嫌いなものをとことん見たくない人間を破滅させることはみじんも理解していないと考えられます。ゆえに美的センスに欠ける内容は、自分自身で排除して欠航であり、稚拙なスポーツニュースは一切見聞きしないというのが賢い人が行うべき行動なのです。同時に世の中に振り回されることを防ぐには、自分自身で好きなものを有"
"1034994","outline","0","38495","31000","planning","3071",
"2259197","outline","1","56415","26000","planning","2162","なんでこんな思いをしなければならないんだ。"
