success,trial_type,trial_index,time_elapsed,internal_node_id,ID,condition,StartTime,EndTime,task,rt,stimulus,response,view_history,trial_type_custom,rt_pra_or_main,delay
1,preload,0,19,0.0-0.0,5398551,control,2025/8/8 11:24,2025/8/8 11:28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,19934,0.0-1.0,5398551,control,2025/8/8 11:24,2025/8/8 11:28,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-button-response,2,42612,0.0-2.0,5398551,control,2025/8/8 11:24,2025/8/8 11:28,check_volume,22677,"
        <p style=""text-align: left"">はじめに、この後の実験で使う音声の音量を調整してください。</p>
        <p style=""text-align: left"">以下に提示されている「音を流す」ボタンを押すと音（短いビープ音）が流れますので、</p>
        <p style=""text-align: left"">適切な音量となるようにPCやイヤホンの設定をお願いします。</p>
        <p><button id=""play-sound-button"">音を流す</button></p>
        <p style=""text-align: left""><b>この音は以降も使うので、ここで設定した内容は、この研究のすべての実験が終わるまで変更しないでください。</b></p>
        <p><br></p>
    ",0,NULL,NULL,NULL,NULL
NULL,instructions,3,82693,0.0-3.0,5398551,control,2025/8/8 11:24,2025/8/8 11:28,main_task_inst_tl,40081,NULL,NULL,Array,NULL,NULL,NULL
NULL,html-keyboard-response,4,86424,0.0-4.0-0.0,5398551,control,2025/8/8 11:24,2025/8/8 11:28,start_screen,3731,<p>準備ができたらスペースキーを押してください。課題が始まります。</p>, ,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,87426,0.0-4.0-1.0,5398551,control,2025/8/8 11:24,2025/8/8 11:28,fixation,NULL,"<p style=""font-size:48px;"">+</p>",NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,6,89773,0.0-4.0-2.0,5398551,control,2025/8/8 11:24,2025/8/8 11:28,rt_trial,2347,"<div id=""fixation"" style=""font-size: 48px;"">+</div>",tab,NULL,rt_trial,practice,1946
NULL,html-keyboard-response,7,90275,0.0-4.0-3.0,5398551,control,2025/8/8 11:24,2025/8/8 11:28,white_screen,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,8,91509,0.0-4.0-0.1,5398551,control,2025/8/8 11:24,2025/8/8 11:28,start_screen,1234,<p>準備ができたらスペースキーを押してください。課題が始まります。</p>, ,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,9,92510,0.0-4.0-1.1,5398551,control,2025/8/8 11:24,2025/8/8 11:28,fixation,NULL,"<p style=""font-size:48px;"">+</p>",NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,10,93986,0.0-4.0-2.1,5398551,control,2025/8/8 11:24,2025/8/8 11:28,rt_trial,1475,"<div id=""fixation"" style=""font-size: 48px;"">+</div>",tab,NULL,rt_trial,practice,1117
NULL,html-keyboard-response,11,94486,0.0-4.0-3.1,5398551,control,2025/8/8 11:24,2025/8/8 11:28,white_screen,NULL,,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,12,95160,0.0-4.0-0.2,5398551,control,2025/8/8 11:24,2025/8/8 11:28,start_screen,673,<p>準備ができたらスペースキーを押してください。課題が始まります。</p>, ,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,13,96162,0.0-4.0-1.2,5398551,control,2025/8/8 11:24,2025/8/8 11:28,fixation,NULL,"<p style=""font-size:48px;"">+</p>",NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,14,98958,0.0-4.0-2.2,5398551,control,2025/8/8 11:24,2025/8/8 11:28,rt_trial,2796,"<div id=""fixation"" style=""font-size: 48px;"">+</div>",tab,NULL,rt_trial,practice,2463
NULL,html-keyboard-response,15,99459,0.0-4.0-3.2,5398551,control,2025/8/8 11:24,2025/8/8 11:28,white_screen,NULL,,NULL,NULL,NULL,NULL,NULL
