success,trial_type,trial_index,time_elapsed,internal_node_id,ID,condition,StartTime,EndTime,task,view_history,rt,response,ref_text,intro_text,challenge_text,resolve_text,writing_txt,writing_duration_rt,pre_writing_pause,stimulus
1,preload,0,16,0.0-0.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2742,0.0-1.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,113861,0.0-2.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,structure_outline_inst_tl,Array,111118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,593863,0.0-3.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,structure_outline_task,NULL,NULL,Array,なし,静かな港町に住む青年カイは、祖父から受け継いだ古い羅針盤を手にしていた,羅針盤が指す方角は、ものすごい嵐が起きる海域で、船に乗る者は全員行方不明になると恐れられていた,カイは特殊能力を持つ仲間を信じ、協力して困難をはねのけて、嵐の先にたどり着き、とてつもない財宝を手に入れた,NULL,NULL,NULL,NULL
NULL,instructions,4,643623,0.0-4.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,main_task_inst_tl,Array,49759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1202638,0.0-5.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"港町に暮らす青年カイは、祖父から受け継いだ古い羅針盤を持っていた。この羅針盤は、選ばれしものに試練と褒美を与えてくれるという言い伝えがあった。針はある日、みんなから恐れられる「黒嵐の海」をまっすぐ示すしていた。

　カイは炎を操るエリン、海中を泳ぐトウマ、風を読むミラと出航した。嵐の中、氷塊や巨大な渦が行く手を阻むが、仲間の力を合わせ突破した。

　嵐の先には黄金の島と財宝が眠っており、カイたちは無事に全ての財宝を持ち帰って財政難だった港町を救う。夜には宴がひらかれて皆喜んだ。ふと、カイが羅針盤に目をやると、羅針盤は再び別の方角を指し、次の冒険を告げていた。

",559015,192240,NULL
NULL,html-keyboard-response,6,1204917,0.0-6.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,debrief,NULL,2278, ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,5,0.0-0.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,8288,0.0-1.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,122267,0.0-2.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,structure_outline_inst_tl,Array,113978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
