"ID","condition","order","time","probe_interval","response","response_time_for_beep","trial_text"
"4270487","structured","0","34886","30000","planning","1438",
"4270487","structured","1","74023","36000","output","1280","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるもののひへいｓ"
"4270487","structured","2","110342","33000","output","1335","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの"
"5227688","structured","0","34272","29000","planning","2732","山野昇る"
"5127776","structured","0","66224","36000","planning","25097",
"276409","structured","0","29551","23000","output","1703","ある日めのｍ"
"4270487","structured","3","154879","41000","output","1173","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの疲れがたまる一方の毎日を過ごしている。
"
"5227688","structured","1","79771","41000","output","1876","山野ノボル60歳は定年退職を機に、憧れだった富士山登山に挑戦してみることにした"
"4270487","structured","4","189806","32000","output","1166","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの疲れがたまる一方の毎日を過ごしている。
先日大きなプロジェクトを終わらせたこともあり"
"5127776","structured","1","118217","45000","planning","4566",
"276409","structured","1","70992","30000","planning","6783","ある日目の前に幽霊が現れて"
"5227688","structured","2","112231","29000","planning","2132","山野ノボル60歳は定年退職を機に、憧れだった富士山登山に挑戦してみることにした。若い頃からひ弱で体力面にはじしｎ"
"276409","structured","2","97343","21000","output","2367","ある日目の前に幽霊が現れて先祖から"
"5127776","structured","2","151158","27000","planning","4113",
"4270487","structured","5","223617","31000","output","1229","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの疲れがたまる一方の毎日を過ごしている。
先日大きなプロジェクトを終わらせたこともあり長期の休暇を取ってふと一人旅に出かけることにした。
時間に余裕があるので車を運転しての"
"5227688","structured","3","144436","28000","planning","1784","山野ノボル60歳は定年退職を機に、憧れだった富士山登山に挑戦してみることにした。若い頃からひ弱で体力面には自信がなかったが、テレビや本の影響で富士山登山へのおもいはつよま"
"276409","structured","3","131815","31000","output","1774","ある日目の前に先祖の幽霊が現れて自分の行いが"
"5127776","structured","3","190228","33000","revision","1934",
"4408530","structured","0","53418","19000","planning","1833",
"1201560","structured","0","30779","25000","planning","1765",
"4858226","structured","0","41110","35000","planning","1050","ある日、突然ある国からでんっ"
"4270487","structured","6","267263","41000","output","1041","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの疲れがたまる一方の毎日を過ごしている。
先日大きなプロジェクトを終わらせたこともあり長期の休暇を取ってふと一人旅に出かけることにした。
時間に余裕があるので車を運転しての移動より普段はあまり使わないローカル線でののんびりとした旅をすることにした。"
"5231896","structured","0","54655","45000","planning","2689","元気をと"
"276409","structured","4","162103","27000","planning","1944","ある日目の前に先祖の幽霊が現れて自分の行いがあまりにも人の道から外れているので呪いをかけて"
"4858226","structured","1","61237","17000","planning","1236","ある日、突然ある国から伝染病が起き始める。
過去にない"
"5227688","structured","4","190916","42000","output","2232","山野ノボル60歳は定年退職を機に、憧れだった富士山登山に挑戦してみることにした。若い頃からひ弱で体力面には自信がなかったが、テレビや本の影響で富士山登山への思いは強まるばかり。
不安と期待を抱きつつ、山登りへの準備をすすめること"
"4408530","structured","1","80658","16000","planning","3496","5歳で柔道をはじめ"
"5231896","structured","1","80565","20000","output","2802","今までずっと生まれからｔ"
"4270487","structured","7","301762","32000","output","1133","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの疲れがたまる一方の毎日を過ごしている。
先日大きなプロジェクトを終わらせたこともあり長期の休暇を取ってふと一人旅に出かけることにした。
時間に余裕があるので車を運転しての移動より普段はあまり使わないローカル線でののんびりとした旅をすることにした。

出発してしばらくは順調に旅程を進めることが出来たが、とある地方のローカル線でたまたまうんｗ"
"5127776","structured","4","230399","36000","revision","2277","港町に暮らす青年カイは、祖父から受け継いだ古い羅針盤を持っていた。針はある日、みんなから恐れられる「黒嵐の海」をまっすぐ示す。

　カイは炎を操るエリン、海中を泳ぐトウマ、風を読むミラと出航。嵐の中、氷塊や巨大な渦が行く手を阻むが、仲間の力を合わせ突破した。

　嵐の先には黄金の島と財宝が眠っており、カイたちは無事持ち帰って港町を救う。だが羅針盤は再び別の方角を指し、次の冒険を告げていた。

"
"4858226","structured","2","86907","23000","planning","1130","ある日、突然ある国から伝染病が起き始める。
過去にない症状なので初めのころはパニック"
"4408530","structured","2","102610","15000","output","3607","5歳で柔道をはじめた健は、オリンピックを"
"276409","structured","5","190024","25000","output","1350","ある日目の前に先祖の幽霊が現れて自分の行いがあまりにも人の道から外れているので呪いをかけて3日以内にかいしんし"
"5231896","structured","2","102195","17000","output","2331","今までずっと生まれからずっとともに携わってい来たこの森を"
"4270487","structured","8","330446","26000","output","1118","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの疲れがたまる一方の毎日を過ごしている。
先日大きなプロジェクトを終わらせたこともあり長期の休暇を取ってふと一人旅に出かけることにした。
時間に余裕があるので車を運転しての移動より普段はあまり使わないローカル線でののんびりとした旅をすることにした。

出発してしばらくは順調に旅程を進めることが出来たが、とある地方のローカル線でたまたま運悪く運休している区間がありその先に進むことがｍ"
"5227688","structured","5","233778","39000","output","1814","山野ノボル60歳は定年退職を機に、憧れだった富士山登山に挑戦してみることにした。若い頃からひ弱で体力面には自信がなかったが、テレビや本の影響で富士山登山への思いは強まるばかり。
不安と期待を抱きつつ、山登りへの準備をすすめることにした。まずは体力作りのために1時間のウォーキングをすることにしたノボル。しかし"
"5127776","structured","5","275688","40000","output","1923","港町に暮らす青年カイは、祖父から受け継いだ古い羅針盤を持っていた。針はある日、みんなから恐れられる「黒嵐の海」をまっすぐ示すしていた。

　カイは炎を操るエリン、海中を泳ぐトウマ、風を読むミラと出航した。嵐の中、氷塊や巨大な渦が行く手を阻むが、仲間の力を合わせ突破した。

　嵐の先には黄金の島と財宝が眠っており、カイたちは無事持ち帰って港町を救う。だが羅針盤は再び別の方角を指し、次の冒険を告げていた。

"
"4858226","structured","3","124941","35000","output","870","ある日、突然ある国から伝染病が起き始める。
過去にない症状なので初めのころはパニック状態が続いた。
いろんな国の学者や医者がこのびょうげんきん"
"4441706","structured","0","34271","27000","output","1819","田中太郎は、"
"276409","structured","6","228376","35000","output","1680","ある日目の前に先祖の幽霊が現れて自分の行いがあまりにも人の道から外れているので呪いをかけて3日以内に改心しなければあの世に連れて行ってやると脅された。"
"4408530","structured","3","142319","33000","output","4489","5歳で柔道をはじめた健は、オリンピックを目指して毎日柔道に励んでいます。１"
"5231896","structured","3","150476","43000","output","2545","今までずっと生まれからずっとともに携わってい来たこの森を少しでも元気にするために、どうしても動きたくなった少年が、何かやり方がないのか、ひｓ"
"4270487","structured","9","371173","38000","output","1470","私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの疲れがたまる一方の毎日を過ごしている。
先日大きなプロジェクトを終わらせたこともあり長期の休暇を取ってふと一人旅に出かけることにした。
時間に余裕があるので車を運転しての移動より普段はあまり使わないローカル線でののんびりとした旅をすることにした。

出発してしばらくは順調に旅程を進めることが出来たが、とある地方のローカル線でたまたま運悪く運休している区間がありその先に進むことが出来なくなった。
タクシーを拾って運休区間をｓ"
"6157211","structured","0","32705","27000","output","1221","1．ある日、人間がペットショップをのぞいて"
"5227688","structured","6","272677","35000","planning","2000","山野ノボル60歳は定年退職を機に、憧れだった富士山登山に挑戦してみることにした。若い頃からひ弱で体力面には自信がなかったが、テレビや本の影響で富士山登山への思いは強まるばかり。
不安と期待を抱きつつ、山登りへの準備をすすめることにした。まずは体力作りのために1時間のウォーキングをすることにしたノボル。しかし思いの外、体力を消耗し30分歩くだけでバテテしまった。このままではふじさ"
"4441706","structured","1","57143","18000","output","2382","田中太郎は、子供のころから野球を見るこ"
"4818552","structured","0","46343","37000","other","1351","少女は少し性格をｓ"
"276409","structured","7","257463","26000","planning","1704","ある日目の前に先祖の幽霊が現れて自分の行いがあまりにも人の道から外れているので呪いをかけて3日以内に改心しなければあの世に連れて行ってやると脅された。解決する方法は２ｒ"
"5127776","structured","6","315580","34000","output","2612","港町に暮らす青年カイは、祖父から受け継いだ古い羅針盤を持っていた。針はある日、みんなから恐れられる「黒嵐の海」をまっすぐ示すしていた。

　カイは炎を操るエリン、海中を泳ぐトウマ、風を読むミラと出航した。嵐の中、氷塊や巨大な渦が行く手を阻むが、仲間の力を合わせ突破した。

　嵐の先には黄金の島と財宝が眠っており、カイたちは無事に持ち帰って港町を救う。だが羅針盤は再び別の方角を指し、次の冒険を告げていた。

"
"4858226","structured","4","162665","35000","planning","1120","ある日、突然ある国から伝染病が起き始める。
過去にない症状なので初めのころはパニック状態が続いた。
いろんな国の学者や医者がこの病原菌について調べ始めたが、なかなかいい答えが見つからなかった。

"
