ID,Duration (in seconds),Sex,Age,AcademicDegree,PracticeTrial_1_1,PracticeTrial_1_2,PracticeTrial_1_3,PracticeTrial_2_1,PracticeTrial_2_2,PracticeTrial_2_3,PracticeTrial_3_1,PracticeTrial_3_2,PracticeTrial_3_3,A_control_1_1,A_control_1_2,A_control_1_3,A_control_2_1,A_control_2_2,A_control_2_3,A_control_3_1,A_control_3_2,A_control_3_3,A_control_4_1,A_control_4_2,A_control_4_3,A_outline_1_1,A_outline_1_2,A_outline_1_3,A_outline_2_1,A_outline_2_2,A_outline_2_3,A_outline_3_1,A_outline_3_2,A_outline_3_3,A_structured_1_1,A_structured_1_2,A_structured_1_3,A_structured_2_1,A_structured_2_2,A_structured_2_3,A_structured_3_1,A_structured_3_2,A_structured_3_3,B_control_5_1,B_control_5_2,B_control_5_3,B_control_6_1,B_control_6_2,B_control_6_3,B_control_7_1,B_control_7_2,B_control_7_3,B_control_8_1,B_control_8_2,B_control_8_3,B_outline_4_1,B_outline_4_2,B_outline_4_3,B_outline_5_1,B_outline_5_2,B_outline_5_3,B_outline_6_1,B_outline_6_2,B_outline_6_3,B_structured_4_1,B_structured_4_2,B_structured_4_3,B_structured_5_1,B_structured_5_2,B_structured_5_3,B_structured_6_1,B_structured_6_2,B_structured_6_3,C_control_9_1,C_control_9_2,C_control_9_3,C_control_10_1,C_control_10_2,C_control_10_3,C_control_11_1,C_control_11_2,C_control_11_3,C_outline_7_1,C_outline_7_2,C_outline_7_3,C_outline_8_1,C_outline_8_2,C_outline_8_3,C_outline_9_1,C_outline_9_2,C_outline_9_3,C_structured_7_1,C_structured_7_2,C_structured_7_3,C_structured_8_1,C_structured_8_2,C_structured_8_3,C_structured_9_1,C_structured_9_2,C_structured_9_3,C_structured_10_1,C_structured_10_2,C_structured_10_3,D_control_12_1,D_control_12_2,D_control_12_3,D_control_13_1,D_control_13_2,D_control_13_3,D_control_14_1,D_control_14_2,D_control_14_3,D_outline_10_1,D_outline_10_2,D_outline_10_3,D_outline_11_1,D_outline_11_2,D_outline_11_3,D_outline_12_1,D_outline_12_2,D_outline_12_3,D_structured_11_1,D_structured_11_2,D_structured_11_3,D_structured_12_1,D_structured_12_2,D_structured_12_3,D_structured_14_1,D_structured_14_2,D_structured_14_3,E_control_15_1,E_control_15_2,E_control_15_3,E_control_16_1,E_control_16_2,E_control_16_3,E_control_17_1,E_control_17_2,E_control_17_3,E_outline_13_1,E_outline_13_2,E_outline_13_3,E_outline_14_1,E_outline_14_2,E_outline_14_3,E_outline_15_1,E_outline_15_2,E_outline_15_3,E_structured_15_1,E_structured_15_2,E_structured_15_3,E_structured_16_1,E_structured_16_2,E_structured_16_3,E_structured_17_1,E_structured_17_2,E_structured_17_3,E_structured_18_1,E_structured_18_2,E_structured_18_3,F_control_18_1,F_control_18_2,F_control_18_3,F_control_19_1,F_control_19_2,F_control_19_3,F_control_20_1,F_control_20_2,F_control_20_3,F_outline_16_1,F_outline_16_2,F_outline_16_3,F_outline_17_1,F_outline_17_2,F_outline_17_3,F_outline_18_1,F_outline_18_2,F_outline_18_3,F_structured_19_1,F_structured_19_2,F_structured_19_3,F_structured_20_1,F_structured_20_2,F_structured_20_3,F_structured_21_1,F_structured_21_2,F_structured_21_3,F_structured_22_1,F_structured_22_2,F_structured_22_3,Group
1,140,1,35,3,1,1,1,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,4,4,3,4,4,5,3,4,4,4,4,3,2,2,2,2,2,3,5,4,2,2,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
2,149,1,36,4,2,1,2,2,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,6,5,4,6,5,6,2,3,3,5,3,5,3,4,5,5,3,5,2,4,3,3,2,4,3,5,6,F
3,305,1,39,4,1,1,1,2,1,2,1,2,1,3,4,5,4,6,3,3,3,4,4,5,5,5,6,5,4,6,5,6,5,5,5,4,5,4,3,6,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
4,279,1,50,3,1,1,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,5,5,6,5,6,5,5,4,5,5,5,4,4,5,5,5,4,4,6,7,6,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
5,407,1,45,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,2,3,3,4,2,2,3,2,2,3,3,3,4,3,3,2,2,2,2,5,3,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
6,474,2,26,2,1,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,5,1,1,3,6,2,5,1,1,5,5,1,5,2,6,3,1,2,5,1,3,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
7,561,2,35,4,2,2,2,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,1,2,2,2,2,5,3,3,5,2,5,2,2,3,4,2,2,5,2,5,4,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
8,511,1,47,4,1,2,1,2,1,2,2,2,1,6,4,5,3,3,5,3,2,4,5,3,6,4,2,6,5,6,5,3,5,4,5,3,5,3,2,6,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
9,493,2,40,5,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,5,4,5,4,3,6,1,1,2,5,4,2,1,3,4,1,1,6,4,2,6,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
10,619,1,54,4,1,2,2,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5,2,5,2,3,5,4,7,7,6,1,1,1,2,5,5,1,1,1,3,5,4,5,6,5,5,7,6,F
11,654,1,33,4,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,4,6,6,6,6,6,6,6,5,3,5,6,5,3,6,4,6,6,5,6,6,2,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
12,589,2,37,4,1,2,2,1,1,2,2,2,2,7,4,7,2,3,5,2,2,3,5,2,7,5,2,7,6,6,7,3,4,2,5,3,7,2,2,6,5,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
13,617,1,45,2,1,2,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,3,1,1,4,2,1,6,6,6,7,2,2,4,2,2,2,1,1,4,1,2,1,1,1,1,3,6,4,F
14,726,1,50,3,2,2,1,2,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,5,5,2,5,3,5,6,6,6,5,4,5,4,5,2,2,2,4,5,4,6,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
