ID,condition
4983408,control
6233409,control
3710758,control
3124577,control
4960690,control
3260097,control
5127776,structured
5924178,outline
6169624,outline
4270487,structured
1451340,outline
1966230,control
5227688,structured
5231896,structured
5860381,structured
4415810,outline
3585633,control
4409144,structured
5144214,outline
6492409,structured
1610899,outline
276409,structured
5138531,structured
4758400,control
1533311,control
6337447,control
5081515,outline
1919427,control
438363,control
769122,outline
4858226,structured
4408530,structured
4818552,structured
6157211,structured
2592945,outline
4441706,structured
679574,structured
4277165,structured
81949,outline
115345,outline
1541203,outline
6487944,control
2090929,control
968553,control
3554155,control
4021758,structured
3824660,structured
3327831,control
1184990,control
6179110,outline
5364686,outline
1225989,control
4189255,structured
4517104,structured
5108776,outline
972848,outline
5090304,structured
222621,outline
804422,structured
109960,outline
