Sex,Age,PrefHandOrType,FreqHandAndType_1,FreqHandAndType_2,ID
2,30,5,2,6,rikitten
1,40,3,3,6,6169624
2,38,5,4,6,3260097
1,33,5,4,6,5138531
1,46,5,1,6,3585633
1,34,3,6,6,5127776
1,27,2,5,6,6021210
1,38,5,4,6,3124577
2,50,4,5,6,5231896
2,34,4,5,6,5227688
1,35,5,3,6,5144214
2,32,4,2,5,6337447
2,44,1,4,5,1451340
2,42,1,6,6,2487904
2,46,5,3,6,769122
1,48,5,6,6,1610899
1,48,5,5,6,1541203
2,50,3,6,5,6233409
1,48,3,1,3,2259197
1,61,5,4,6,1201560
1,48,4,1,2,4270487
1,52,3,6,6,276409
2,39,4,5,6,1966230
1,36,5,1,4,6065925
1,57,5,2,6,4408530
1,44,5,1,6,4415810
1,49,4,4,6,5705536
2,44,5,1,5,3710758
1,50,4,5,6,4858226
1,49,5,2,6,2592945
2,59,3,5,6,438363
1,38,5,2,6,1919427
2,49,4,1,2,1533311
1,32,5,1,2,5924178
1,36,4,2,5,4818552
1,28,3,4,5,6230369
2,44,5,3,6,248261
1,39,5,2,6,6157211
2,38,5,5,6,5081515
1,40,5,5,6,169251
2,38,1,4,6,4983408
1,35,5,4,6,4758400
1,44,5,2,5,757433
1,49,4,4,6,4441706
2,21,2,5,5,6492409
2,38,2,5,5,4409144
2,46,4,2,6,5860381
1,54,4,2,5,5739980
1,41,4,2,5,4277165
1,56,4,4,6,81949
1,27,2,5,6,6021210
1,42,5,2,6,4960690
1,48,4,5,6,115345
1,41,4,2,6,679574
2,35,3,6,5,6487944
2,57,3,6,6,4457469
1,52,5,4,6,5364686
1,54,2,6,6,2090929
1,35,4,5,6,3824660
1,59,1,6,2,3402659
1,38,4,2,6,113910
2,42,1,6,6,972848
2,36,1,5,5,968553
1,47,5,2,6,804422
2,29,5,1,6,6179110
2,49,5,2,5,5090304
1,53,3,4,6,1184990
1,35,5,2,6,1225989
1,41,4,4,6,4517104
2,41,3,6,6,3554155
2,59,4,5,6,222621
1,43,5,1,3,109960
1,35,5,5,6,3327831
1,46,5,1,5,4021758
1,38,4,2,6,113910
1,40,4,1,6,5108776
1,36,5,2,6,4189255
2,57,2,4,5,5208842
2,39,3,6,6,5034632
