"Condition","CondID","QuestionID","Average","SD"
"control","1","1",4.55555555555556,1.72259114749784
"control","1","2",4.72222222222222,1.12749360533236
"control","1","3",5.55555555555556,0.855585263892997
"control","10","1",4.5,1.46897744599504
"control","10","2",4.55,1.356271980176
"control","10","3",4.9,0.788068925652412
"control","11","1",5.15,0.875093979915421
"control","11","2",5.55,1.14593101656986
"control","11","3",5.1,0.85224162622679
"control","12","1",4.42857142857143,1.83225076262581
"control","12","2",5.57142857142857,1.32557265253281
"control","12","3",4.14285714285714,1.52596573636875
"control","13","1",3.9047619047619,1.72929933512859
"control","13","2",4.85714285714286,1.15263672879682
"control","13","3",3.85714285714286,1.76877681706071
"control","14","1",4.42857142857143,1.12122382116278
"control","14","2",4,1.26491106406735
"control","14","3",5.47619047619048,1.24976188208185
"control","15","1",4.5,1.5727950313141
"control","15","2",4.25,1.44641116670119
"control","15","3",4.15,1.38696943388321
"control","16","1",3.6,1.14248114115496
"control","16","2",2.85,1.03998987849326
"control","16","3",4.55,1.14593101656986
"control","17","1",4.7,1.55935209217432
"control","17","2",4.55,1.46808145478878
"control","17","3",4.95,1.43178210632764
"control","18","1",4.6,1.31389337066357
"control","18","2",5.3,1.08093526754916
"control","18","3",4.15,1.18210338847862
"control","19","1",3.75,1.51744244666721
"control","19","2",3.6,1.35335839575791
"control","19","3",4.3,1.30182058752551
"control","2","1",3.66666666666667,1.4142135623731
"control","2","2",3.66666666666667,1.32842232831014
"control","2","3",4.5,1.2485285456936
"control","20","1",4.9,1.11921024787453
"control","20","2",4.3,1.52522647153585
"control","20","3",5.05,1.19097483291276
"control","3","1",3.16666666666667,1.2485285456936
"control","3","2",2.66666666666667,1.2833778958395
"control","3","3",3.44444444444444,1.5424282697488
"control","4","1",5.11111111111111,1.02261998512983
"control","4","2",4,1.64495664165995
"control","4","3",5.72222222222222,0.751903901522118
"control","5","1",2.65,1.66306628661765
"control","5","2",2.45,1.356271980176
"control","5","3",4.25,1.58529426124516
"control","6","1",4.65,1.56524758424985
"control","6","2",3.25,1.40955386745706
"control","6","3",5.45,1.57195821559574
"control","7","1",1.9,1.25236618152662
"control","7","2",1.65,1.03998987849326
"control","7","3",4.8,1.19648608323224
"control","8","1",4.7,1.59274671723509
"control","8","2",4.35,1.30887657735053
"control","8","3",4.7,1.71985311490316
"control","9","1",4.65,1.4964871146156
"control","9","2",3.45,1.09904264559757
"control","9","3",4.65,1.22581873821025
"outline","1","1",3.5,1.20049009599756
"outline","1","2",2.55555555555556,1.19912822364084
"outline","1","3",5.66666666666667,1.02899151085505
"outline","10","1",4.0952380952381,1.78619041271534
